OID,AddNum_Pre,Add_Number,AddNum_Suf,AddNo_Full,St_PreMod,St_PreDir,St_PreTyp,St_PreSep,St_Name,St_PosTyp,St_PosDir,St_PosMod,StNam_Full,Building,Floor,Unit,Room,Seat,Addtl_Loc,SubAddress,LandmkName,County,Inc_Muni,Post_City,Census_Plc,Uninc_Comm,Nbrhd_Comm,NatAmArea,NatAmSub,Urbnztn_PR,PlaceOther,PlaceNmTyp,State,Zip_Code,Plus_4,UUID,AddAuth,AddrRefSys,Longitude,Latitude,NatGrid,Elevation,Placement,AddrPoint,Related_ID,RelateType,ParcelSrc,Parcel_ID,AddrClass,Lifecycle,Effective,Expire,DateUpdate,AnomStatus,LocatnDesc,Addr_Type,DeliverTyp,NAD_Source,DataSet_ID
-1,,147,,147,,North,,,Main,Street,,,North Main Street,,,,,,,,,Fairfield,Redding,Not stated,Georgetown CDP,REDDING,,,,,,,CT,06896,,{60EFFA9C-3889-468A-A443-3C6F72E290BE},State of Connecticut Department of Emergency Services and Public Protection,,-73.432075406682699,41.259568724996001,18TXL3134868757,,Parcel - Other,-73.4320754066827 41.259568724996,,,,,Numbered Thoroughfare Address,,,,3/31/2022 15:08:17,,,Unknown,,State of Connecticut,
-1,,993,,993,,,,,Albemarle,Street,,,Albemarle Street,,,,,,,,,Ramsey,Unincorporated,Saint Paul,,,,,,,,,MN,55117,5147,{03E8C7E7-A306-470A-B2C3-77D1ED129D05},City of Saint Paul,,-93.107406240665100,44.971274985918200,15TVK9153079765,,Parcel - Other,-93.1074062406651 44.9712749859182,,,,,Numbered Thoroughfare Address,,,,10/15/2020 20:55:43,,,Residential,,MetroGIS Coordinating Committee,
-1,,4811,,4811,,,,,Ravens Crest,Drive,,,Ravens Crest Drive,,,,,,,,,Middlesex,"Middlesex, Plainsboro Township",Plainsboro,,,,,,,,,NJ,08536,2493,{F8529814-71FB-4069-B39D-9CAB029F207D},NJ Office of GIS,,-74.552974031158698,40.326362951296801,18TWK3797564077,,Structure - Rooftop,-74.55297403115867 40.3263629512968,,,,572ef2ea-62bb-49ea-b505-e8f360df5509,Numbered Thoroughfare Address,,,,1/15/2022 13:35:23,,,Residence,,State of New Jersey,d24d8cc0-a3b2-48a9-b079-b91a45e8fa32
-1,,1606,,1606,,,,,Hidden,Trail,,,Hidden Trail,,,,,,,,,Carver,Unincorporated,Mayer,,,,,,,,,MN,55360,5360,{539B170F-F033-4D28-BDFB-0B3D093EF541},Mayer City,,-93.896577953210496,44.880319061865499,15TVK2918870046,,Site,-93.8965779532105 44.8803190618655,,,,,Numbered Thoroughfare Address,,,,4/25/2017 0:00:00,,,Unknown,,MetroGIS Coordinating Committee,
-1,,107,,107,,,,,CEDAR BLUFF,Court,,,CEDAR BLUFF Court,,,,,,,,,Parker,Unincorporated,ALEDO,,,,,,,,,TX,76008,,{192506C1-97CC-4FC7-B69D-7CBE5254FEDE},NCTCOG,,-97.600156175999999,32.680772822000101,14SPB3124116764,,Unknown,-97.600156176 32.6807728220001,,,,,Numbered Thoroughfare Address,,2/1/2022 0:00:00,,9/17/2019 20:02:20,,,Unknown,,"Parker County, Texas",
-1,,838,,838,,West,,,ROYBAL,Drive,,,West ROYBAL Drive,,,,,,,,,San Miguel,Unincorporated,Not stated,,LAS VEGAS,,,,,,,NM,,,{3D13F274-363F-42A5-9A16-CB60F28A8AF9},SMLVG,,-105.242564219393003,35.621065163808900,13SDV7803441947,,Unknown,-105.242564219393 35.6210651638089,,,,,Numbered Thoroughfare Address,,1/1/2019 0:00:00,,9/25/2019 0:00:00,,,Unknown,,University of New Mexico EDAC,
-1,,5702,,5702,,,,,Chelsea,Cove,North,,Chelsea Cove North,,,,,,,,,Dutchess,Beekman,Hopewell Junction,Chelsea Cove CDP,,,,,,,,NY,12533,,{8D649151-F0E0-451E-B302-D989E5D14935},911 Addressing Authority,,-73.746963644897093,41.614690461690302,18TXM0439807755,,Structure - Rooftop,-73.7469636448971 41.6146904616903,,,,,Numbered Thoroughfare Address,,,,11/10/2017 14:07:51,,,Unknown,,New York State GIS Program Office,
-1,109-,11,,109-11,,,,,139,Street,,,139 Street,,,,,,,,,Queens,Unincorporated,Jamaica,,,,,,,,,NY,11435,,{4B128E9D-6C02-405C-B9D5-9F3C9BF4829F},911 Addressing Authority,,-73.806276618330102,40.687177959332097,18TXL0086804716,,Structure - Rooftop,-73.8062766183301 40.6871779593321,,,,,Numbered Thoroughfare Address,,,,12/12/2022 12:30:35,,,Unknown,,New York State GIS Program Office,
-1,,17,,17,,,,,Saratoga,Avenue,,,Saratoga Avenue,,Floor 2,,,,,Floor 2,,Saratoga,Mechanicville,Mechanicville,,,,,,,,,NY,12118,,{C165F819-BB50-4946-B977-DF414ED6D701},911 Addressing Authority,,-73.684800028708295,42.907811232442903,18TXN0736051416,,Structure - Rooftop,-73.6848000287083 42.9078112324429,,,,,Numbered Thoroughfare Address,,,,7/23/2018 20:07:26,,,Unknown,,New York State GIS Program Office,
-1,,144,,144,,,,,Notch,Road,,,Notch Road,,,,,,,,,Morris,"Morris, Jefferson Township",Oak Ridge,,,,,,,,,NJ,07438,8863,{9D8F8A59-A204-400C-9149-779E20DF1576},Morris County,,-74.469272147634300,41.030117785833198,18TWL4461442236,,Unknown,-74.46927214763431 41.03011778583315,,,,1d2620ac-329f-40f8-afa7-98462161c268,Numbered Thoroughfare Address,,,,1/14/2022 2:15:30,,,Residence,,State of New Jersey,e9a3b99c-0a2b-4a6d-a35b-398f194dc190
-1,,116,,116,,,,,Tarryhill,Way,,,Tarryhill Way,,,,,,,,,Westchester,Greenburgh,White Plains,,,,,,,,,NY,10603,,{B3219F93-DD24-4ABD-B320-FC7AAA0D7A9D},911 Addressing Authority,,-73.795306118094302,41.049631107039701,18TXL0124144965,,Property Access,-73.7953061180943 41.0496311070397,,,,,Numbered Thoroughfare Address,,,,7/23/2018 20:07:26,,,Unknown,,New York State GIS Program Office,
-1,,480,1/2,480 1/2,,,,,MELODY,Lane,,,MELODY Lane,,,,,,,,,Mesa,GRAND JUNCTION,Not stated,,,,,,,,,CO,81501,,{D8936D41-EA78-44D0-83EA-5B4EFBF5CBDE},,,-108.517309605817005,39.074459946870398,12SYJ1476827973,,Unknown,-108.517309605817 39.0744599468704,,,,,Numbered Thoroughfare Address,,,,5/10/2022 0:00:00,,,Unknown,,Colorado OIT GIS,
-1,,101,,101,,,,,Wellington Woods,Drive,East,,Wellington Woods Drive East,,,,,,,,,Monroe,Clarkson,Brockport,Clarkson CDP,Clarkson,,,,,,,NY,14420,,{618CC87D-ECC2-4EB7-9BDD-516A4052ACFE},911 Addressing Authority,,-77.940279782741001,43.221855232782502,18TTN6120089649,,Structure - Rooftop,-77.940279782741 43.2218552327825,,,,,Numbered Thoroughfare Address,,,,9/6/2019 17:40:05,,,Unknown,,New York State GIS Program Office,
-1,,803,,803,,,,,WILLOW VIEW,Drive,,,WILLOW VIEW Drive,,,,,,,,,Rutherford,Unincorporated,LAVERGNE,,,,,,,,,TN,37086,,{78B94A42-2A60-4328-8014-D325E7E9F218},,,-86.567929777866794,36.030799218529800,16SEE3892687450,,Unknown,-86.5679297778668 36.0307992185298,,,,,Numbered Thoroughfare Address,,11/30/1999 0:00:00,,11/30/1999 0:00:00,,,Unknown,,State of TN,
-1,,24181,,24181,,,,,EFFINGHAM,Boulevard,,,EFFINGHAM Boulevard,,,,,,,,,Cuyahoga,Unincorporated,EUCLID,,,,,,,,,OH,44117,,{56910EF7-435C-402C-81C5-919A4B83B48B},COUNTY,,-81.514786720065601,41.573697137433697,17TMG5708302574,,Unknown,-81.5147867200656 41.5736971374337,,,,,Numbered Thoroughfare Address,,,,3/31/2010 0:00:00,,,Unknown,,OHIO LOCATION BASED RESPONSE SYSTEM,
-1,,7,,7,,East,,,27TH,Avenue,,,East 27TH Avenue,,,,,,,,,Reno,HUTCHINSON,HUTCHINSON,,HUTCHINSON,,,,,,,KS,67502,,{34DC710F-764E-4703-9FB4-FBBDB062E16C},HUTCHINSON/RENO COUNTY EMERGENCY COMMUNICATIONS,,-97.931037134235794,38.082999896707200,14SNH9374715563,,Structure - Rooftop,-97.9310371342358 38.0829998967072,,,,,Numbered Thoroughfare Address,,1/1/2014 0:00:00,,6/29/2022 0:00:00,,,Unknown,,State of Kansas,
-1,,1335,,1335,,,,,BLUE DIAMOND,Drive,,,BLUE DIAMOND Drive,,,,,,,,,Fort Bend,Unincorporated,MISSOURI CITY,,,,,,,,,TX,77489,,{05900406-F3DA-4251-8DDC-6AF5B0086B79},HGAC STARMAP,,-95.521466922000002,29.595195155000098,15RTN5578876586,,Unknown,-95.521466922 29.5951951550001,,,,,Numbered Thoroughfare Address,,10/2/2021 0:00:00,,7/27/2022 0:00:00,,,Unknown,,"Fort Bend County, Texas",
-1,,4129,,4129,,South,,,WILLOW CREEK,Road,,,South WILLOW CREEK Road,,,,,,,,,Lincoln,HERSHEY,,,,,,,,,,NE,69143,,{22619827-8409-4ABD-AC1A-33A3503389A7},SOUTH CENTRAL,,-101.020529530999994,41.097815689000100,14TLL3031651582,,Property Access,-101.02052953099997 41.09781568900007,,,,,,,11/11/2020 0:00:00,,12/1/2020 13:01:43,,,,,State of Nebraska,SSAP_374355@lincoln.ne.us
-1,,38,,38,,,,,Ball,Street,,,Ball Street,,,,,,,,,Essex,"Essex, Newark",Irvington,,,,,,,,,NJ,07111,,{536D8E24-45F1-48C3-A78D-863FDA8C2745},NJ Office of GIS,,-74.141715488824204,40.716477464906902,18TWL7249107638,,Parcel - Centroid,-74.14171548882423 40.71647746490691,,,,fdc072d9-9a1b-4662-8fd7-6f7d56b0b57e,Numbered Thoroughfare Address,,,,1/11/2022 7:21:07,,,Industrial,,State of New Jersey,f7ea5f14-0e89-42ff-aedf-cb847d2ce3cd
-1,,1136,,1136,,East,,,DUNLAP,Avenue,,,East DUNLAP Avenue,,,,,,,,,Maricopa,PHOENIX,Not stated,,,,,,,,,AZ,,,{C4BDBEB6-5CC1-4D8A-873E-3816EBA432D8},MARICOPA911.AZ.GOV,,-112.058033457999997,33.568013104000002,12SVC0179814761,,Unknown,-112.058033458 33.568013104,,,,,Numbered Thoroughfare Address,,,,2/12/2022 14:55:54,,,Unknown,,State of Arizona,
-1,,11,,11,,North,,,TURNBERRY,Drive,,,North TURNBERRY Drive,,,,,,,,,Kent,Unincorporated,Dover,,,Dover,,,,,,DE,19904,,{D5AE4E53-57C6-496A-9053-6D6C4A662867},,,-75.569318478948006,39.170105059106596,18SVJ5081935807,,Unknown,-75.569318478948 39.1701050591066,,,,,Numbered Thoroughfare Address,,,,7/1/2022 0:00:00,,,Unknown,,"Kent County, Delaware",
-1,,84,,84,,,,,SALLIE SMITH BRADLEY,Road,,,SALLIE SMITH BRADLEY Road,,,,,,,,Residence,Swain,<Null>,CHEROKEE,,BIG COVE,,Eastern Cherokee Reservation,Big Cove Community,,,,NC,28719,,{D5CED960-0EEB-4FDC-B501-AFA070430F25},,,-83.268292003609204,35.551172821555703,17SKV9439436535,,Unknown,-83.2682920036092 35.5511728215557,,,,,Numbered Thoroughfare Address,,,,4/5/2022 22:57:17,,,Residential,,State of North Carolina,
-1,,16318,,16318,,,,,Hampton Glen,Lane,,,Hampton Glen Lane,,,,,,,,,Chesterfield,Chesterfield County,Chesterfield,,,,,,,,,VA,23832,,{63E88212-1EBF-4CC0-B586-CA8E9B343F7B},Chesterfield County,,-77.711267328423006,37.390905446414600,18STG5997841688,,Structure - Rooftop,-77.711267328423 37.3909054464146,,,,,Numbered Thoroughfare Address,,7/29/2021 0:00:00,,7/29/2021 0:00:00,,,Unknown,,Virginia Geographic Information Network,
-1,,30,,30,,,,,Landes,Lane,,,Landes Lane,,,,,,,,,Augusta,Augusta County,Waynesboro,Dooms CDP,,,,,,,,VA,22980,,{484DCD31-3827-46A0-9BFF-8BD18F729CCB},Augusta County,,-78.855954401566706,38.109802230750198,17SPC8797120169,,Structure - Rooftop,-78.8559544015667 38.1098022307502,,,,,Numbered Thoroughfare Address,,6/21/2022 0:00:00,,6/21/2022 0:00:00,,,Unknown,,Virginia Geographic Information Network,
-1,,1177,,1177,,South,,,Boulder,Road,,,South Boulder Road,,,,,,,,,Madison,Unincorporated,Harrison ,Mammoth CDP,,,,,,,,MT,59735,,{FB89C800-6E17-46D2-8649-E0EAE39E3546},Madison County,,-112.020459083464004,45.664368569943903,12TVR2050757263,,Structure - Rooftop,-112.020459083464 45.6643685699439,,,,,Numbered Thoroughfare Address,,4/2/2003 0:00:00,,4/2/2003 0:00:00,,,Open,,State of Montana,
-1,,54,,54,,,,,TURNPIKE,Road,,,TURNPIKE Road,,,,,,,,,Worcester,WESTMINSTER,Not stated,,WESTMINSTER,,,,,,,MA,01473,,{8AD0EFBC-BA43-A435-7AE0-03FAA16683D2},WESTMINSTER,UNINC_COMM,-71.870900868000007,42.548158682000100,19TBH6428114635,,Site,-71.870900868 42.5481586820001,,,,,Numbered Thoroughfare Address,,,,1/15/2014 0:00:00,,,Residential,,"MASSGIS, Massachusetts",
-1,,3310,,3310,,,,,ALTO,Road,,,ALTO Road,,,,,,,,,Baltimore city,Unincorporated,BALTIMORE,,,,,,,,,MD,21216,,{F64827D1-FA14-40FC-83AD-DF9412D9659F},BALTIMORE CITY,,-76.674043257622799,39.317549394196597,18SUJ5568753352,,Unknown,-76.6740432576228 39.3175493941966,,,,,Numbered Thoroughfare Address,,,,6/28/2022 0:00:00,,,Other,,Maryland Department of Information Technology,
-1,,5611,,5611,,,,,72ND,Street,,,72ND Street,,,,,,,,,Lubbock,Unincorporated,LUBBOCK,,,,,,,,,TX,79424,,{49F2192A-7776-45A0-8DD3-844D4037A2F8},Lubbock ECD,,-101.935165394999999,33.528129837000101,14SKC2740713696,,Unknown,-101.935165395 33.5281298370001,,,,,Numbered Thoroughfare Address,,6/1/2022 0:00:00,,7/27/2022 0:00:00,,,Unknown,,"Lubbock County, Texas",
-1,,128,,128,,,,,CHERRY GROVE,Road,,,CHERRY GROVE Road,,,,,,,,,Fleming,FLEMINGSBURG,Not stated,,,,,,,,,KY,41041,,{BF03609E-2985-4BF7-974F-F661434B58EA},FLEMINGCOUNTY.KY.US.GOV,,-83.739681263040595,38.434829683531397,17SKC6086957617,,Unknown,-83.7396812630406 38.4348296835314,,,,,Numbered Thoroughfare Address,,,,2/25/2022 9:01:08,,,Unknown,,State of Kentucky,
-1,,1000,,1000,,,,,FALLS CREEK,Lane,,,FALLS CREEK Lane,,,D,,,,D,,Mecklenburg,CHARLOTTE,CHARLOTTE,,,,,,,,,NC,28209,,{DDD510B8-9E12-4703-82F8-3D2A4F34329E},,,-80.864473640475296,35.178598351569498,17SNU1234092857,,Unknown,-80.8644736404753 35.1785983515695,,,,,Numbered Thoroughfare Address,,,,5/5/2020 18:39:53,,,Residential,,State of North Carolina,
-1,,3548,,3548,,East,,,HELENA,Drive,,,East HELENA Drive,,,,,,,,,Maricopa,PHOENIX,Not stated,,,,,,,,,AZ,,,{C6A76B0A-BA58-4E46-AC1A-55D476AA6901},MARICOPA911.AZ.GOV,,-112.004322318999996,33.644942077000103,12SVC0686723241,,Unknown,-112.004322319 33.6449420770001,,,,,Numbered Thoroughfare Address,,,,2/12/2022 13:53:54,,,Unknown,,State of Arizona,
-1,,91,,91,,,,,ABBOTSFORD,Road,,,ABBOTSFORD Road,,,,,,,,,Cook,WINNETKA,WINNETKA,,,,,,,,,IL,60093,,{56A67180-B55B-485E-80CE-47F8E931E618},Reserved for future use,,-87.719041143781794,42.093321723234197,16TDM4053760387,,Unknown,-87.7190411437818 42.0933217232342,,,,,Numbered Thoroughfare Address,,,,12/12/2017 12:50:52,,,Unknown,,State of Illinois,
-1,,91,,91,,,,,Parkdale,Avenue,,,Parkdale Avenue,,Floor 1,,,,,Floor 1,,Erie,Buffalo,Buffalo,,,,,,,,,NY,14213,,{9C35C4B6-1FA6-4AAE-9CE9-2254FE2B7D57},911 Addressing Authority,,-78.887894620432803,42.917915518512302,17TPH7238653863,,Structure - Rooftop,-78.8878946204328 42.9179155185123,,,,,Numbered Thoroughfare Address,,,,7/23/2018 20:07:26,,,Unknown,,New York State GIS Program Office,
-1,,1116,,1116,,,,,PRAIRIE,Road,,,PRAIRIE Road,,,,,,,,,Aransas,Unincorporated,FULTON,,,,,,,,,TX,78358,,{0C0AEAE5-B44A-4766-B201-BDF320F0677A},CSEC,,-97.042132322000000,28.074623479000000,14RPS9239007016,,Unknown,-97.042132322 28.074623479,,,,,Numbered Thoroughfare Address,,10/2/2021 0:00:00,,7/12/2018 0:00:00,,,Unknown,,"Aransas County, Texas",
-1,,3535,,3535,,,,,PARKWAY,,,,PARKWAY,,,,,,,,,Sevier,Unincorporated,PIGEON FORGE,,,,,,,,,TN,37863,,{D18645A4-8B90-468A-8764-40D8A2A0F672},,,-83.553010447852401,35.786136973520499,17SKV6925963235,,Unknown,-83.5530104478524 35.7861369735205,,,,,Numbered Thoroughfare Address,,1/1/1900 0:00:00,,5/24/2012 0:00:00,,,Unknown,,State of TN,
-1,,422,,422,,,,,INDIANA,Avenue,,,INDIANA Avenue,,,,,,,,,Blount,Unincorporated,MARYVILLE,,,,,,,,,TN,37803,5942,{43D48723-ADCF-45CE-A195-74AB82BBE3EB},,,-83.969573111493403,35.747027695084100,17SKV3146859958,,Unknown,-83.9695731114934 35.7470276950841,,,,,Numbered Thoroughfare Address,,11/30/1999 0:00:00,,12/7/2020 14:47:43,,,Unknown,,State of TN,
-1,,310,,310,,,,,BERLIN,Avenue,,,BERLIN Avenue,,,,,,,,,Anne Arundel,Unincorporated,BROOKLYN,Brooklyn Park CDP,,,,,,,,MD,21225,,{0A6BCF70-D7E7-4339-BB5F-C1282394A038},ANNE ARUNDEL COUNTY,,-76.640609146727400,39.217535896125000,18SUJ5836842199,,Unknown,-76.6406091467274 39.217535896125,,,,,Numbered Thoroughfare Address,,,,6/3/2021 0:00:00,,,Other,,Maryland Department of Information Technology,
-1,,612,,612,,,,,13TH,Street,,,13TH Street,,,,,,,,,Rock Island,EAST MOLINE,EAST MOLINE,,,,,,,,,IL,61244,,{3BEBEA36-2F34-481C-89FB-FE2DFA2D31CB},ricoetsb.org,,-90.428819307968496,41.526229550861700,15TYG1452000368,,Unknown,-90.4288193079685 41.5262295508617,,,,,Numbered Thoroughfare Address,,,,4/29/2020 17:04:57,,,Unknown,,State of Illinois,
-1,,6813,,6813,,North,,,186TH,Avenue,,,North 186TH Avenue,,,,,,,,,Maricopa,LITCHFIELD PARK,Not stated,Citrus Park CDP,,,,,,,,AZ,,,{5945F08C-9DB1-4D1D-8A1B-6BDF54750BA6},MARICOPA911.AZ.GOV,,-112.459797598999998,33.535259944000103,12SUC6445511582,,Unknown,-112.459797599 33.5352599440001,,,,,Numbered Thoroughfare Address,,,,2/12/2022 13:45:45,,,Unknown,,State of Arizona,
-1,,17427,,17427,,,,,Holland,Court,,,Holland Court,,,,,,,,,Dakota,Unincorporated,Lakeville,,,,,,,,,MN,55044,,{F0E9092F-836F-4FA6-9739-D123D369D819},Lakeville,,-93.239004139605001,44.696774659715899,15TVK8106349294,,Structure - Rooftop,-93.239004139605 44.6967746597159,,,,,Numbered Thoroughfare Address,,,,1/1/1900 0:00:00,,,Residential,,MetroGIS Coordinating Committee,
-1,,2703,,2703,,North,,,APPERSON,Way,,,North APPERSON Way,,,,,,,,,Howard,Unincorporated,Not stated,,,KOKOMO,,,,,,IN,46901,,{17100732-3880-4333-829F-29A9B6E969A4},HOWARD COUNTY,,-86.127248192489702,40.514167643275499,16TEK7393685193,,Unknown,-86.1272481924897 40.5141676432755,,,,,Numbered Thoroughfare Address,,,,8/16/2022 0:00:00,,,Residential,,Indiana Geographic Information Council,
-1,,1024,,1024,,South,,,26th,Street,,,South 26th Street,,,,,,,,,Douglas,Omaha,Not stated,,,MARSHS ADD,,,,,,NE,68105,,{C98DCCE7-AB62-483E-9C5A-8AA319153E69},Douglas County,,-95.950951618000005,41.249589897000099,15TTF5274470664,,Other,-95.95095161799998 41.24958989700008,,,,,,,,,10/29/2020 23:59:53,,,Parcel,,State of Nebraska,260095
-1,,13802,,13802,,,,,Camden,Avenue,,,Camden Avenue,,,,,,,,,Douglas,Omaha,Not stated,,,HILLSBOROUGH,,,,,,NE,68164,,{8342F773-314F-4293-A2D4-4C9B32412994},Douglas County,,-96.130758424999996,41.306185244000098,14TQL4020076719,,Other,-96.13075842499995 41.30618524400006,,,,,,,,,10/30/2020 0:38:48,,,"Unit, Condo, Office or Suite",,State of Nebraska,35469
-1,,4005,,4005,,,,,WATERPROOF,Drive,,,WATERPROOF Drive,,,,,,,,,Bell,Unincorporated,KILLEEN,,,,,,,,,TX,76549,,{D45213A9-BE62-41BC-B78A-D42D31BF93B6},CSEC,,-97.786731207000003,31.101043840999999,14RPV1570741433,,Unknown,-97.786731207 31.101043841,,,,,Numbered Thoroughfare Address,,10/2/2021 0:00:00,,6/4/2021 14:23:30,,,Unknown,,"Bell County, Texas",
-1,,2636,,2636,,,,,PATILLO,Road,,,PATILLO Road,,,,,,,,,Orange,Unincorporated,ORANGE,,,,,,,,,TX,77630,,{6D666168-873C-4BB8-9124-C0F79E9B7A47},CSEC,,-93.814068630999898,30.050545947000000,15RVP2152324665,,Unknown,-93.8140686309999 30.050545947,,,,,Numbered Thoroughfare Address,,2/1/2022 0:00:00,,1/7/2020 19:03:45,,,Unknown,,"Orange County, Texas",
-1,,29070,,29070,,,,,MCKINLEY,Drive,,,MCKINLEY Drive,,,,,,,,,Sussex,Unincorporated,LEWES,,,TANAGER WOODS,Nanticoke Indian Tribe SDTSA,,,,,DE,19958,,{B554FADC-9E36-4A45-9D7B-F3B75E037079},Sussex County Mapping and Addressing,,-75.199477289306202,38.709153876275501,18SVH8265684520,,Unknown,-75.1994772893062 38.7091538762755,,,,,Numbered Thoroughfare Address,,,,10/10/2022 0:00:00,,,Unknown,,"Sussex County, Delaware",
